target_year,actual_services,model,expected_services,scale,z,relative_error,anomaly_vote,v5_consensus,v5_model_spread_ratio,v5_uncertainty,causal_score,v5_classification
2024,18999.0,naive_last,18823.0,1882.3,0.0935,0.00935,False,0.0,0.4617,0.9656,0.525,NORMAL_WITH_CONTEXT
2024,18999.0,linear_trend,21128.25,2367.7122,-0.8993,-0.100777,False,0.0,0.4617,0.9656,0.525,NORMAL_WITH_CONTEXT
2024,18999.0,median_growth,28578.7723,16694.9407,-0.5738,-0.335206,False,0.0,0.4617,0.9656,0.525,NORMAL_WITH_CONTEXT
